processed,shot_no,variation_no,prompt
true,15,2,"human, close-up, dialogue focus, complex — The baker’s face fills half the frame: weathered features, gentle eyes under a brown cap, rolled ochre sleeve and apron edge visible, hand lifted in a calm explaining gesture. Facing him, the boy, fragile, bruised cheek faintly visible, dusty blue collar loose around his neck, looks up, lips parted, expression curious and intent. Background softly blurred: wooden shelves, amber light streaming across flour dust. Mood warm, instructive, intimate. in Ghibli / RPG storybook watercolor style"
true,16,1,"human, wide shot, complex — In a rustic 1930s French bakery oven room, the elderly baker, about 60 (soft brown cap, rolled ochre shirt, flour-dusted cream apron, dark trousers, worn leather shoes) leans forward as he slides a pan of raw dough into the mouth of a glowing brick oven. His posture is careful, expression concentrated. Beside him, the boy, about 11 (oversized dusty blue shirt, faded undershirt, loose trousers, scuffed shoes) stands slightly behind, hands clasped nervously in front, eyes wide with anticipation. The oven glows with orange firelight, flickering embers casting warm reflections across dark soot-stained stone walls. Atmosphere tactile, sacred, full of anticipation. in Ghibli / RPG storybook watercolor style"
true,16,2,"human, close-up, action focus, complex — The baker’s weathered hands hold a wooden peel as he slides a pan of pale dough into a glowing brick oven, sleeves of his rolled ochre shirt visible, apron streaked with flour. The oven mouth flickers with orange-red flames, embers glowing inside. Behind him, blurred but present, the boy’s small hands clutch the hem of his dusty blue shirt, posture tense with expectation. Background shows darkened stone oven walls, shadows alive with flickering light. Mood warm, intimate, filled with magical anticipation. in Ghibli / RPG storybook watercolor style"
true,17,1,"human, medium two-shot, complex — In the firelit bakery oven room, the baker, about 60 (brown cap, rolled ochre shirt, flour-smudged cream apron, dark trousers, worn shoes) crouches slightly, face lit by orange glow, expression calm and steady. Beside him, the boy, 11 (dusty blue shirt, loose trousers, scuffed shoes) leans forward, eyes glowing with reflected firelight, mouth parted in awe. Their postures mirror one another, both gazing into the oven mouth. Background stone walls dark with soot. Warm flickering firelight fills the room, casting deep shadows; atmosphere quiet, reverent, magical. in Ghibli / RPG storybook watercolor style"
true,17,2,"human, close-up two-shot, paired focus, complex — Side view of the baker and the boy’s faces together, both illuminated by soft orange oven glow. The baker’s profile shows gentle eyes, furrowed brow, brown cap brim catching the light. Beside him, the boy’s profile: delicate face bruised faintly, wide eyes glowing orange, lips parted in amazement. Background blurred, dominated by flickering firelight and subtle stone textures. Atmosphere intimate, hushed, full of wonder. in Ghibli / RPG storybook watercolor style"
true,18,1,"human, wide shot, complex — Inside the oven room, the baker, 60 (cap, ochre shirt, flour-dusted apron, trousers, worn shoes) stands at the oven with the boy, 11 (dusty blue shirt, loose trousers, scuffed shoes), both leaning forward as they watch bread rise in the oven. Through the oven’s glowing mouth, the dough expands, crust turning golden-brown; steam rises softly, illuminated by firelight. Their faces glow from the flames. Background: soot-dark stone walls, warm flicker of orange embers. Mood transformative, magical, tactile. in Ghibli / RPG storybook watercolor style"
true,18,2,"human, close-up, oven focus, complex — Through the open mouth of a brick oven, a pan of bread dough rises and cracks, crust turning golden, steam drifting upward. Reflected faintly in the oven’s light are the faces of the baker (weathered, brown cap, ochre sleeve visible) and the boy (young, fragile, dusty blue collar) watching in amazement. Fire embers glow around the bread, light painting their features. Mood magical, reverent, tactile. in Ghibli / RPG storybook watercolor style"
true,19,1,"human, medium two-shot, complex — In the firelit bakery oven room, the baker, about 60 (soft brown cap, rolled ochre shirt, flour-dusted cream apron, dark trousers, worn shoes) holds a fresh golden loaf in his hands, expression gentle and reverent. Facing him, the boy, 11 (oversized dusty blue shirt, faded cream undershirt, loose trousers, scuffed shoes) gazes up wide-eyed, mouth slightly open in awe, posture leaning forward. The oven glows orange behind them, steam drifting upward, flour particles catching light. Atmosphere warm, sacred, intimate — a lesson as much as a gift. in Ghibli / RPG storybook watercolor style"
true,19,2,"human, close-up, dialogue focus, complex — The baker’s face fills one side of the frame, weathered features, brown cap, ochre collar visible, expression soft, eyes glowing in oven light as he speaks gently. Opposite him, the boy’s fragile face: bruised cheek, dusty blue collar, eyes wide with amazement, lips parted as he listens. Background blurred, only the soft orange oven glow and drifting flour visible. Mood quiet revelation, warmth, sacredness. in Ghibli / RPG storybook watercolor style"
true,20,1,"human, medium shot, complex — In the cozy bakery interior, the baker, around 60 (brown cap, rolled ochre shirt, flour-dusted apron, trousers, worn shoes) smiles gently as he offers a freshly baked golden-brown loaf with both hands. The boy, 11 (dusty blue shirt, loose trousers, scuffed shoes) reaches forward with trembling hands to accept it, expression a mix of gratitude and wonder. The counter behind them holds baskets of bread and jars, golden sunlight streaming in through a window. Mood warm, generous, tender. in Ghibli / RPG storybook watercolor style"
true,20,2,"human, close-up, hand focus, complex — The baker’s strong flour-streaked hands hold out a loaf of bread, sleeves of his rolled ochre shirt visible. Reaching toward it are the boy’s small thin hands in oversized dusty blue sleeves, trembling as they touch the loaf. Background blurred, hints of golden light and shelves of loaves behind. Mood sacred offering, kindness, trust. in Ghibli / RPG storybook watercolor style"
true,21,1,"human, wide shot, simple — In a narrow 1930s French alley, cobblestones uneven, walls cracked with peeling plaster, wooden crates stacked nearby. The boy, about 11, frail (dusty blue oversized shirt, cream undershirt, loose trousers, scuffed shoes) crouches against the wall, holding the loaf of bread in both hands. His posture small and hunched, expression weary but softened with relief as he takes a bite. The alley is in cool gray-blue shadow, while faint warm light glows at the far street entrance. Mood lonely but briefly comforted. in Ghibli / RPG storybook watercolor style"
true,21,2,"human, close-up, simple — The boy sits crouched on cold cobblestones, clutching a loaf of bread close to his chest with both arms. He wears a dusty blue shirt, loose trousers, and worn shoes; his cheek is bruised, lips pressing into a piece of bread as he eats hungrily. His eyes glisten, torn between hunger and sadness. Behind him, blurred textures of cracked plaster and wooden crate shadows. Light is dim gray-blue, with a faint amber rim from distant sunlight. Mood somber, intimate, bittersweet. in Ghibli / RPG storybook watercolor style"
true,22,1,"human, wide shot, complex — In a 1930s French village square, cobblestones stretch across a small open space bordered by plaster buildings and red-tiled roofs. A crowd of villagers (farmer in cap, mother with child, cobbler, elder) watch tensely as a uniformed policeman in dark coat and cap seizes a frail boy, about 11 (dusty blue oversized shirt, cream undershirt, loose trousers, scuffed shoes). The boy struggles slightly, expression fearful, body tense. The elderly baker, about 60 (brown cap, rolled ochre shirt, flour-dusted cream apron, dark trousers, worn shoes) pushes forward through the villagers, face worried, hand reaching out. Neutral daylight with scattered clouds flattens the square, shadows crossing the cobblestones. Mood public tension, exposure, shock. in Ghibli / RPG storybook watercolor style"
true,22,2,"human, medium shot, complex — The boy, 11, small and bruised (dusty blue shirt, trousers, scuffed shoes) is gripped tightly by a policeman in a dark uniform coat, cap pulled low. His face is frightened, eyes wide, lips trembling. Behind them, the baker, sturdy in his brown cap, rolled ochre shirt, flour-dusted apron, leans forward anxiously, mouth open as if calling out. Villagers blur in background, their faces curious and tense. Light is flat midday, casting angular shadows across cobbles. Mood urgent and uneasy. in Ghibli / RPG storybook watercolor style"
true,23,1,"human, medium two-shot, complex — In the tense square, the elderly baker, 60 (brown cap, rolled ochre shirt, flour-smudged apron, trousers, worn shoes) confronts a policeman in a dark uniform and cap, his face set stern. The baker leans forward slightly, eyes anxious, mouth open in questioning, posture protective. Behind them, blurred figures of villagers linger. The light is harsh midday, neutral tones flattening the scene. Mood direct, confrontational, tense. in Ghibli / RPG storybook watercolor style"
true,23,2,"human, over-the-shoulder, complex — Shot from behind the baker’s shoulder, his brown cap and ochre sleeve foregrounded, as he faces the policeman in dark coat and cap. The policeman’s face is firm, unmoved, mouth forming his terse reply. To the side, the boy, frail in dusty blue shirt, loose trousers, worn shoes, is half visible, held by the officer’s other hand, posture slumped in fear. Background: cobblestones, plaster walls, faint villagers blurred. Lighting flat and tense, shadows long. in Ghibli / RPG storybook watercolor style"
true,24,1,"human, wide shot, complex — Inside a dim 1930s French police station corridor, stone walls rough and heavy wooden doors lining the passage. The boy, 11 (dusty blue oversized shirt, loose trousers, scuffed shoes) is led forward by the policeman in dark uniform coat and cap, posture hunched, expression defeated. The baker, 60 (brown cap, rolled ochre shirt, flour-streaked apron, trousers, worn shoes) follows close behind, face deeply worried, stride determined. Light is cold and gray, filtering from a barred window above, casting sharp shadows. Atmosphere grim, oppressive, somber. in Ghibli / RPG storybook watercolor style"
true,24,2,"human, medium shot, complex — A narrow view of the boy’s frail frame, dusty blue shirt slipping off one shoulder, small hands clenched nervously at his sides as the policeman in dark uniform grips his arm, guiding him forward. Behind, the baker’s profile, brown cap and ochre shirt sleeve visible, face marked with anxious determination. Background: stone walls, barred light streaks on the floor. Mood cold, oppressive, inevitable. in Ghibli / RPG storybook watercolor style"
true,25,1,"human, wide shot, complex — In a dim stone jail cell, barred window casting angular shadows, a thin cot pushed against the wall. The boy, 11 (dusty blue shirt, loose trousers, scuffed shoes) sits hunched on the cot, head lowered, body small in the frame. The elderly baker, 60 (brown cap, rolled ochre shirt, flour-dusted apron, dark trousers, worn shoes) stands just inside the open cell door, posture careful, expression sorrowful as he speaks softly. Cool pale light falls across the boy’s face, the baker partly in shadow. Atmosphere quiet, intimate, mournful. in Ghibli / RPG storybook watercolor style"
true,25,2,"human, close-up, complex — The boy sits hunched, face bruised, eyes downcast and glistening, dusty blue collar loose, small hands gripping his knees, posture trembling. Foreground: the baker’s hand in rolled ochre sleeve rests gently on the cell’s barred door, edge of his apron visible. His face, half-lit, is heavy with compassion as he leans closer to speak. Background blurred, faint stone wall texture and barred light pattern implied. Mood intimate, sorrowful, gentle. in Ghibli / RPG storybook watercolor style"
true,26,1,"human, medium two-shot, complex — In a dim stone jail cell, the boy, about 11, frail (dusty blue oversized shirt, cream undershirt, loose trousers, scuffed shoes) sits hunched on a narrow cot, hands clenched, eyes lowered in shame, face bruised and pale. Across from him, the elderly baker, 60, sturdy (brown cap, rolled ochre shirt, flour-dusted apron, dark trousers, worn shoes) crouches down slightly, hands resting on his knees, face sorrowful and listening. Pale gray light enters through a barred window, throwing striped shadows across the boy’s body. Mood intimate, tragic, confessional. in Ghibli / RPG storybook watercolor style"
true,26,2,"human, close-up, complex — A focused scene inside a stone jail cell: the boy’s tear-streaked face, bruised cheek, dusty blue collar slipping at his neck, expression broken, lips trembling as he speaks. His hands grip his knees tightly, posture hunched and trembling. Foreground: the baker’s ochre sleeve and gentle hand rest on the cot edge, his face half-lit with compassion. The barred shadow cuts diagonally across them. Atmosphere intimate, sorrowful, heavy. in Ghibli / RPG storybook watercolor style"
true,27,1,"human, wide shot, complex — In a rustic 1930s French courtroom with wooden beams and stone walls, the boy, 11 (dusty blue shirt, loose trousers, scuffed shoes) stands alone before a raised judge’s bench. His posture small and tense, eyes cast downward. The judge, stern, in a black robe, towers above him, clerks in muted attire scribbling at desks. The hall is vast and echoing, with cold gray daylight streaming from high windows, casting long shadows across wooden benches. Mood oppressive, severe, intimidating. in Ghibli / RPG storybook watercolor style"
true,27,2,"human, high angle, complex — Viewed from above, the boy, 11, tiny figure in dusty blue shirt, loose trousers, worn shoes, stands in the center of the courtroom floor, shoulders slumped. Around him, the judge’s bench rises high, clerks at desks, faint villagers scattered in shadows. The high windows cast gray beams of light, emphasizing how small and vulnerable the boy is in the vast chamber. Mood isolating, symbolic of power imbalance. in Ghibli / RPG storybook watercolor style"
true,28,1,"human, wide shot, complex — In the courtroom’s wooden benches, the elderly baker, 60 (brown cap, rolled ochre shirt, flour-dusted apron, dark trousers, worn shoes) sits completely alone, hands clasped, expression heavy with grief. The benches around him are empty, the boy far away before the judge. Cold daylight filters from high windows, casting long streaks across the wood, creating a sense of isolation and futility. Mood lonely, powerless, somber. in Ghibli / RPG storybook watercolor style"
true,28,2,"human, close-up, complex — The baker sits alone on a bench, brown cap tilted down, hands folded tightly, ochre shirt sleeves rolled, apron slightly soiled with flour, face filled with sorrow as he stares forward. Background blurred: faint outlines of the courtroom benches and judge’s bench. Cold gray light strikes across his lap, leaving the rest in shadow. Mood quiet despair, loyal witness. in Ghibli / RPG storybook watercolor style"
true,29,1,"human, medium shot, complex — The judge in a stark black robe delivers the verdict, expression stern, mouth set in severity, one hand gripping a gavel. In the lower frame, the boy, 11 (dusty blue shirt, trousers, worn shoes) stands before him, posture slumped, face pale and resigned. Background clerks scribble with quills. Harsh gray light falls from above, outlining the judge. Mood harsh finality, oppressive authority. in Ghibli / RPG storybook watercolor style"
true,29,2,"human, close-up, complex — A detailed close-up of a wooden gavel slamming down on a desk, the judge’s black robe sleeve visible, his hand firm and unyielding. In blurred background, the boy, small and faint in dusty blue, stands still. The light is cold and stark, atmosphere harsh, echoing, condemning. in Ghibli / RPG storybook watercolor style"
true,30,1,"human, wide shot, complex — In a dim stone jail cell, lit only by the flicker of a single candle on a small table, the boy, 11 (dusty blue shirt, loose trousers, scuffed shoes) sits on the cot, tearful eyes glinting in candlelight. The baker, 60 (brown cap, rolled ochre shirt, flour-streaked apron, trousers, worn shoes) enters the cell carrying a fresh loaf of bread, expression gentle, deeply sorrowful. Warm candlelight contrasts with the cold gray stone walls, shadows flickering. Mood poignant, sacred, intimate. in Ghibli / RPG storybook watercolor style"
true,30,2,"human, close-up, complex — In candlelit gloom, the baker’s hands, flour-streaked and strong, hold a loaf of bread extended forward. His ochre sleeve and apron edge visible. Facing him, the boy’s tear-bright eyes, bruised cheek, trembling mouth appear above his dusty blue collar, posture slightly hunched. The candle flame glows warmly between them, shadows dancing across stone walls. Mood sacred offering, fragile hope. in Ghibli / RPG storybook watercolor style"
true,31,1,"human, medium two-shot, complex — In a dim jail cell lit by a single candle, the boy, 11 (dusty blue oversized shirt, cream undershirt, loose trousers, scuffed shoes) sits on a narrow cot, tears streaming down his bruised face, shoulders shaking. The elderly baker, 60 (brown cap, rolled ochre shirt, flour-streaked cream apron, dark trousers, worn shoes) sits beside him, one arm wrapped gently across the boy’s shoulders, expression tender, eyes full of sorrow but calm reassurance. Candlelight flickers warmly across their faces, casting long shadows on cold stone walls. Mood intimate, heartbreaking, compassionate. in Ghibli / RPG storybook watercolor style"
true,31,2,"human, close-up, complex — The boy’s tear-streaked face fills most of the frame: eyes shimmering, lips trembling, posture hunched in grief. His dusty blue collar hangs loose, shoulders quivering. Beside him, the baker’s gentle hand in ochre sleeve rests firmly against the boy’s back, a fragment of his apron visible. The candle’s warm glow lights their faces softly against the cold stone background. Mood raw sorrow balanced with gentle reassurance. in Ghibli / RPG storybook watercolor style"
true,32,1,"human, wide shot, complex — A symbolic vision within the jail cell: the baker, 60 (brown cap, ochre shirt, flour-dusted apron) holds a loaf of bread in both hands, golden crust steaming. Beside him, the boy, 11 (dusty blue shirt, loose trousers, scuffed shoes) gazes at it with awe. In the air around them, a visionary overlay of bread dough swelling and rising in a glowing oven, flames flickering like halos. Candlelight and oven glow blend into a radiant aura, illuminating the pair against dark stone. Mood sacred, symbolic, transcendent. in Ghibli / RPG storybook watercolor style"
true,32,2,"human, close-up, complex — The baker’s hands, weathered and flour-streaked, cradle a loaf of bread glowing softly, sleeves of his rolled ochre shirt visible. Reflected faintly in the bread’s glow is the boy’s tearful, uplifted face, dusty blue collar visible, expression filled with quiet awe. Behind them, the stone cell dissolves symbolically into a glowing oven interior, golden crust rising within flames. Mood poetic metaphor, hopeful transcendence. in Ghibli / RPG storybook watercolor style"
true,33,1,"human, wide shot, complex — At dawn in a 1930s prison yard, high stone walls loom, iron gates closed. The boy, 11 (dusty blue shirt, loose trousers, scuffed shoes) walks between two guards in dark uniforms, posture small but steady. The baker, 60 (brown cap, ochre shirt, cream apron, worn shoes) stands off to the side, watching in still silence, expression sorrowful but composed. Above, the dawn sky glows soft pink and pale gold, rays breaking past the walls, casting long cool shadows. Mood solemn, ritualistic, transcendent. in Ghibli / RPG storybook watercolor style"
true,33,2,"human, low angle, complex — The boy, 11 (dusty blue shirt hanging loose, trousers frayed, shoes worn) walks forward escorted by guards, head lowered but stride steady. In the near foreground, the baker’s silhouette watches, cap brim shadowing his face, hands clenched quietly at his sides. Above, the dawn sky expands, radiant with pink and gold light. Atmosphere somber but ascending, symbolic of release. in Ghibli / RPG storybook watercolor style"
true,34,1,"human, wide shot, complex — At the edge of the prison yard at dawn, the boy, 11 (dusty blue shirt, loose trousers, worn shoes) stands facing the rising sun, posture calm, face serene despite tears. Nearby, the baker, 60 (brown cap, ochre shirt, flour-dusted apron, worn shoes) watches him, hands clasped together as if in prayer, expression gentle and mournful. The sky glows with radiant pink and gold light, washing over the scene. Mood sacred, transcendental, final blessing. in Ghibli / RPG storybook watercolor style"
true,34,2,"human, close-up, complex — The baker’s weathered face, brown cap brim shadowing his eyes, looks upward, lips murmuring softly, expression filled with sorrow and faith. In the background blur, the boy’s dusty blue collar and bruised cheek are lit in radiant dawn light, face serene. The sky behind glows pink-gold, symbolic of transcendence. Atmosphere sacred prayer, final release. in Ghibli / RPG storybook watercolor style"
